case,microgrid_bus,critical_load_mw,local_generation_mw,no_bess_resilience,with_bess_resilience,resilience_gain,no_bess_unserved_mw,with_bess_unserved_mw,unserved_reduction_mw,no_bess_feasible,with_bess_feasible
ieee30,2,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee30,2,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee30,2,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee30,3,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee30,3,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee30,3,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee30,6,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee30,6,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee30,6,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee30,9,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee30,9,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee30,9,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee30,13,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee30,13,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee30,13,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee30,14,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee30,14,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee30,14,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee30,16,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee30,16,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee30,16,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee30,20,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee30,20,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee30,20,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee30,25,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee30,25,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee30,25,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee30,29,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee30,29,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee30,29,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee118,7,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee118,7,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee118,7,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee118,18,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee118,18,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee118,18,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee118,41,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee118,41,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee118,41,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee118,51,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee118,51,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee118,51,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee118,71,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee118,71,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee118,71,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee118,81,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee118,81,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee118,81,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee118,83,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee118,83,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee118,83,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee118,85,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee118,85,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee118,85,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee118,105,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee118,105,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee118,105,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
ieee118,112,25,25,1.0,1.0,0.0,0.0,0.0,0.0,True,True
ieee118,112,50,25,0.5,1.0,0.5,25.0,0.0,25.0,False,True
ieee118,112,100,25,0.25,0.75,0.5,75.0,25.0,50.0,False,False
