case,bess_bus,mean_congestion_reduction,max_congestion_reduction,mean_voltage_after_bess,successful_runs,total_runs,success_rate,score
ieee118,101,3.651400169878292e-15,1.7763568394002505e-14,0.9429999999999998,9,9,1.0,10.000000000000009
ieee118,83,3.0592812234115426e-15,1.4210854715202004e-14,0.9430000000000001,9,9,1.0,10.000000000000007
ieee118,15,1.3816108750890841e-15,1.6875389974302383e-14,0.9430000000000001,9,9,1.0,10.000000000000005
ieee118,20,1.6776703483224587e-15,1.2434497875801752e-14,0.9429999999999998,9,9,1.0,10.000000000000005
ieee118,52,2.2697892947892088e-15,1.0658141036401504e-14,0.9429999999999998,9,9,1.0,10.000000000000005
ieee118,55,2.7632217501781674e-15,1.1546319456101628e-14,0.9429999999999998,9,9,1.0,10.000000000000005
ieee118,57,3.0592812234115426e-15,1.0658141036401504e-14,0.9429999999999998,9,9,1.0,10.000000000000005
ieee118,65,2.861908241255959e-15,9.769962616701378e-15,0.9429999999999998,9,9,1.0,10.000000000000005
ieee118,77,7.894919286223335e-16,1.7763568394002505e-14,0.9429999999999998,9,9,1.0,10.000000000000005
ieee118,103,3.0592812234115426e-15,7.105427357601002e-15,0.9430000000000001,9,9,1.0,10.000000000000005
ieee118,112,1.0855514018557087e-15,1.5987211554602254e-14,0.9430000000000001,9,9,1.0,10.000000000000005
ieee118,11,1.0855514018557087e-15,1.3322676295501878e-14,0.9430000000000001,9,9,1.0,10.000000000000004
ieee118,75,1.282924384011292e-15,1.0658141036401504e-14,0.9429999999999998,9,9,1.0,10.000000000000004
ieee118,92,1.578983857244667e-15,9.769962616701378e-15,0.9430000000000001,9,9,1.0,10.000000000000004
ieee118,100,1.0855514018557087e-15,7.993605777301127e-15,0.9430000000000001,9,9,1.0,10.000000000000004
ieee118,106,6.908054375445416e-16,7.993605777301127e-15,0.9430000000000001,9,9,1.0,10.000000000000004
ieee118,10,4.934324553889585e-16,7.993605777301127e-15,0.9430000000000001,9,9,1.0,10.000000000000002
ieee118,44,-4.934324553889588e-16,9.769962616701378e-15,0.9430000000000001,9,9,1.0,10.000000000000002
ieee118,87,1.973729821555836e-16,4.440892098500626e-15,0.9430000000000001,9,9,1.0,10.000000000000002
ieee118,90,-6.908054375445417e-16,6.217248937900877e-15,0.9430000000000001,9,9,1.0,10.0
ieee30,19,34.96124943363196,136.79358908234087,0.9266689665474284,8,9,0.8888888888888888,78.04853559310607
ieee30,20,35.92843816066214,111.31941081826947,0.9116217151858117,8,9,0.8888888888888888,72.6471797541184
ieee30,18,27.689560635186567,115.1310759014634,0.9240055821032174,8,9,0.8888888888888888,65.3612184994413
ieee30,9,18.633913827106717,53.03591335316719,0.9139617581631957,8,9,0.8888888888888888,40.78178105428741
ieee30,16,15.98546198734199,44.31879411181433,0.9133685063894527,8,9,0.8888888888888888,35.95404940418446
ieee30,7,8.891568720066749,14.86072490983345,0.9133073626650284,8,9,0.8888888888888888,21.495638836414003
ieee30,2,3.549482762907793,17.298224479229106,0.9098781224122485,8,9,0.8888888888888888,16.76292777160396
ieee30,6,4.498182055954032,13.394467499504415,0.908995226626064,8,9,0.8888888888888888,16.735687819719026
ieee30,3,3.5198226400606583,13.25996690923084,0.9097718737563811,8,9,0.8888888888888888,15.723703256257258
ieee30,1,-0.5240640189982102,0.3369181791146332,0.903373748211277,8,9,0.8888888888888888,8.449054414669337
ieee30,11,-4.0901183022348775,12.147780267020494,0.910672845850901,8,9,0.8888888888888888,7.835715653409135
ieee30,14,-11.73861199666404,15.637272497418737,0.9121313611953994,8,9,0.8888888888888888,1.0595950165795323
ieee30,29,-12.026834669400737,12.212542963526287,0.9093072597962267,8,9,0.8888888888888888,-0.08481003963027511
ieee30,13,-14.474364524872326,12.91340183041052,0.910791022231937,8,9,0.8888888888888888,-2.357125178380807
ieee30,28,-21.098061373699615,12.19009347922838,0.9092967406442516,8,9,0.8888888888888888,-9.16164911500363
ieee30,15,-28.940457451278228,25.75639196304928,0.9118973795355985,8,9,0.8888888888888888,-13.612470571627018
ieee30,23,-41.31704218707291,11.575082038425762,0.9099672178255267,8,9,0.8888888888888888,-29.534382788577577
ieee30,17,-46.07117095617438,26.27114088566475,0.9188944921492704,8,9,0.8888888888888888,-30.6144968458693
ieee30,22,-60.78077550673796,9.780360365081949,0.9084858635957761,8,9,0.8888888888888888,-49.44679652657858
ieee30,25,-75.30544238705455,12.150433434291584,0.9092736356934821,8,9,0.8888888888888888,-63.37894513959277
