success,max_line_loading_percent,min_bus_voltage_pu,max_bus_voltage_pu,total_load_mw,case,scenario,ai_load_mw,outage_line,error
True,111.83140586617537,0.9606237083025243,1.0,189.2,ieee30,base_case,0.0,,
True,176.44161101331775,0.899502555453738,1.0,239.2,ieee30,ai_data_center_50mw_bus_19,50.0,,
True,112.15734637075674,0.9526101302858013,1.0,239.2,ieee30,ai_data_center_50mw_bus_2,50.0,,
True,179.97190344609885,0.9527830428774738,1.0,239.2,ieee30,ai_data_center_50mw_bus_20,50.0,,
True,325.1774717081736,0.7988983771410264,1.0,289.2,ieee30,ai_data_center_100mw_bus_19,100.0,,
True,112.55119333193468,0.9434700827038827,1.0000000000000002,289.2,ieee30,ai_data_center_100mw_bus_2,100.0,,
True,273.10029515821094,0.9417194841643803,1.0000000000000004,289.2,ieee30,ai_data_center_100mw_bus_20,100.0,,
False,,,,439.2,ieee30,ai_data_center_250mw_bus_19,250.0,,Power Flow nr did not converge after 10 iterations!
True,140.30740524531436,0.862578557332087,1.0000000000000004,439.2,ieee30,ai_data_center_250mw_bus_2,250.0,,
True,634.3113446299577,0.8755669801236527,1.0000000000000002,439.2,ieee30,ai_data_center_250mw_bus_20,250.0,,
True,111.97358118411191,0.9571351570272635,1.0000000000000002,189.2,ieee30,n_minus_1_line_3,0.0,3.0,
True,111.79085821990495,0.9306769597389966,1.0000000000000002,189.2,ieee30,n_minus_1_line_25,0.0,25.0,
True,112.04627367366409,0.9554749826725465,1.0000000000000004,189.2,ieee30,n_minus_1_line_2,0.0,2.0,
True,111.80760972713787,0.957906803946572,1.0000000000000002,189.2,ieee30,n_minus_1_line_22,0.0,22.0,
True,113.37545458469198,0.9531094219715278,1.0000000000000002,189.2,ieee30,n_minus_1_line_15,0.0,15.0,
True,117.9644706735375,0.956326014275814,1.0,189.2,ieee30,n_minus_1_line_35,0.0,35.0,
True,114.3234761690624,0.9592835037989497,1.0000000000000002,189.2,ieee30,n_minus_1_line_27,0.0,27.0,
True,107.71756781979546,0.9603625215571541,1.0,189.2,ieee30,n_minus_1_line_40,0.0,40.0,
True,111.7518111507452,0.9412570623736928,1.0000000000000002,189.2,ieee30,n_minus_1_line_8,0.0,8.0,
True,112.6116190277103,0.9603135628797553,1.0,189.2,ieee30,n_minus_1_line_31,0.0,31.0,
True,4.475087324337677,0.943,1.0500000000000003,4242.0,ieee118,base_case,0.0,,
True,4.475087324337669,0.9430000000000002,1.05,4292.0,ieee118,ai_data_center_50mw_bus_79,50.0,,
True,4.475087324337672,0.9429999999999997,1.0500000000000003,4292.0,ieee118,ai_data_center_50mw_bus_11,50.0,,
True,4.475087324337671,0.9429999999999998,1.0500000000000003,4292.0,ieee118,ai_data_center_50mw_bus_93,50.0,,
True,4.475087324337672,0.9429999999999998,1.05,4342.0,ieee118,ai_data_center_100mw_bus_79,100.0,,
True,4.475087324337669,0.9430000000000001,1.05,4342.0,ieee118,ai_data_center_100mw_bus_11,100.0,,
True,4.475087324337661,0.9429999999999998,1.0500000000000003,4342.0,ieee118,ai_data_center_100mw_bus_93,100.0,,
True,4.475087324337668,0.943,1.0500000000000003,4492.0,ieee118,ai_data_center_250mw_bus_79,250.0,,
True,4.475087324337671,0.943,1.0500000000000003,4492.0,ieee118,ai_data_center_250mw_bus_11,250.0,,
True,4.475087324337678,0.9430000000000002,1.0500000000000003,4492.0,ieee118,ai_data_center_250mw_bus_93,250.0,,
True,4.475087324337671,0.943,1.05,4242.0,ieee118,n_minus_1_line_169,0.0,169.0,
True,4.475087324337669,0.9430000000000001,1.05,4242.0,ieee118,n_minus_1_line_127,0.0,127.0,
True,4.475087324056153,0.9021341836998906,1.0500000000000003,4242.0,ieee118,n_minus_1_line_14,0.0,14.0,
True,4.475087324337666,0.943,1.05,4242.0,ieee118,n_minus_1_line_108,0.0,108.0,
True,4.475087324337656,0.9430000000000001,1.05,4242.0,ieee118,n_minus_1_line_73,0.0,73.0,
True,4.475087324337677,0.9429999999999998,1.05,4242.0,ieee118,n_minus_1_line_72,0.0,72.0,
True,4.475087324337666,0.943,1.05,4242.0,ieee118,n_minus_1_line_119,0.0,119.0,
True,4.475087324337672,0.9429999999999998,1.0500000000000003,4242.0,ieee118,n_minus_1_line_16,0.0,16.0,
True,4.475087324337671,0.940016261211783,1.05,4242.0,ieee118,n_minus_1_line_34,0.0,34.0,
True,4.475087324337672,0.943,1.0500000000000005,4242.0,ieee118,n_minus_1_line_145,0.0,145.0,
